% Device,CC1606011
% File name,CC1606011_20200811_122016
% Cast time (UTC),2020-08-11 12:20:16
% Cast time (local),2020-08-11 08:20:16
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.4884485
% Start longitude,-74.0466102
% Start altitude,-23.1299991607666
% Start GPS horizontal error(Meter),4.28000020980835
% Start GPS vertical error(Meter),6.75
% Start GPS number of satellites,6
% End latitude,40.488527
% End longitude,-74.0466998
% End altitude,-51.229999542236328
% End GPS horizontal error(Meter),17.930000305175781
% End GPS vertical error(Meter),29.1299991607666
% End GPS number of satellites,6
% Cast duration (Seconds),93.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-19
% Temperature calibration date,2016-02-17
% Pressure calibration date,2016-02-12
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
7.9499999999999993,7.9782079568457336,24.412300109863281,42681.7109375,43189.358563152804,27.784960024289965,1525.3255247267316,1018.1072134504161
7.6499999999999995,7.67757832559258,24.458994423750944,42571.161514167965,43036.824757727642,27.676202008262045,1525.3203772181294,1018.0104159394311
7.35,7.3769127713347489,24.525373458862305,42395.4453125,42801.742169309742,27.508583127474491,1525.3010628270397,1017.8635605213389
7.0499999999999989,7.0762062890450128,24.628607905018935,42299.5714872334,42616.117268680886,27.376731406344135,1525.412051180977,1017.7329315798791
6.7499999999999991,6.7754675092581458,24.717254638671875,42260.953125,42501.293999576461,27.295405191340389,1525.5404743155502,1017.6445584592628
6.4499999999999993,6.4747063857547147,24.760231018066406,42205.609375,42408.976517488874,27.229823461317935,1525.5718933151866,1017.5813333658252
6.1499999999999995,6.1739218773875741,24.826277074232515,42122.28198486608,42269.144373471034,27.130476915633079,1525.6242598966869,1017.4859428846908
5.85,5.8731041474892978,24.944154402559167,42046.119680991484,42093.134005325177,27.005676665523069,1525.7774768851505,1017.3562028162468
5.55,5.5722440202244545,25.071718886104428,41930.991483953745,41870.932750812906,26.847995907024611,1525.9186157873621,1017.1988091343716
5.2499999999999991,5.27133452623657,25.166615586591057,41733.562558895661,41594.955201692486,26.651850118285704,1525.9373796041473,1017.0220337322324
4.9499999999999993,4.970372610941947,25.242610514068595,41506.797568351372,41306.3703733397,26.44677406646829,1525.8998122227533,1016.8441040240193
4.6499999999999995,4.6693757910952849,25.27696418762207,41446.7421875,41218.42165413,26.384419680998857,1525.9124756009776,1016.7857797734273
4.35,4.368364354618218,25.309318828719775,41416.743440088481,41162.0991938825,26.344573306506845,1525.9442493668705,1016.7449667346247
